brand,name,rating,votes,url,last_crawled,sex
Guerlain,Samsara Extrait,4.55,545,https://www.fragrantica.com/perfume/Guerlain/Samsara-Extrait-25318.html,2025-11-12T21:18:44.063520,
Prada,Cargo de Nuit,4.55,317,https://www.fragrantica.com/perfume/Prada/Cargo-de-Nuit-32197.html,2025-11-14T12:42:18.861657,unisex
Le_Labo,Patchouli 24 Perfume Oil Le Labo,4.55,33,https://www.fragrantica.com/perfume/Le-Labo/Patchouli-24-Perfume-Oil-17276.html,2025-11-13T10:47:04.187023,unisex
Guerlain,Bouquet de Paris,4.55,42,https://www.fragrantica.com/perfume/Guerlain/Bouquet-de-Paris-57878.html,2025-11-12T16:12:46.928957,
Dior,Passage No.9,4.55,20,https://www.fragrantica.com/perfume/Dior/Dior-Passage-No-9-1790.html,2025-11-11T23:04:06.310387,
Prada,No8 Opopanax,4.54,52,https://www.fragrantica.com/perfume/Prada/No8-Opopanax-3222.html,2025-11-14T12:24:02.233551,unisex
Roja_Dove,Champagne At BG Roja Dove,4.54,13,https://www.fragrantica.com/perfume/Roja-Dove/Champagne-At-BG-110659.html,2025-11-07T09:09:23.281608,unisex
Guerlain,Jicky Extrait,4.54,196,https://www.fragrantica.com/perfume/Guerlain/Jicky-Extrait-33601.html,2025-11-12T23:00:29.221640,
Guerlain,Shalimar Yellow Gold Limited Edition,4.54,103,https://www.fragrantica.com/perfume/Guerlain/Shalimar-Yellow-Gold-Limited-Edition-4861.html,2025-11-12T17:04:15.915267,
Guerlain,Mitsouko Extract,4.54,726,https://www.fragrantica.com/perfume/Guerlain/Mitsouko-Extract-25317.html,2025-11-12T11:30:29.035388,
Jean_Paul_Gaultier,Classique Limited Edition 2003 Jean Paul Gaultier,4.54,79,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Limited-Edition-2003-41047.html,2025-11-15T17:01:40.158167,
Guerlain,Mon Sensuelle,4.54,322,https://www.fragrantica.com/perfume/Guerlain/Mon-Guerlain-Sensuelle-58626.html,2025-11-12T16:45:27.141661,
Guerlain,Muguet Millésime 2020,4.54,39,https://www.fragrantica.com/perfume/Guerlain/Muguet-Millesime-2020-60495.html,2025-11-12T11:49:26.293389,unisex
Guerlain,Chant d'Aromes Extrait de Parfum,4.53,15,https://www.fragrantica.com/perfume/Guerlain/Chant-d-Aromes-Extrait-de-Parfum-78647.html,2025-11-12T12:24:12.607829,
Guerlain,Habit Rouge L'Extrait,4.53,68,https://www.fragrantica.com/perfume/Guerlain/Habit-Rouge-L-Extrait-31928.html,2025-11-12T22:58:51.432587,
